Protein Group,Protein Ids,Protein Names,Genes,First Protein Description,Peptides,Bock_1,Bock_2,Bock_3,Abk_1,Abk_2,Abk_3
P82675,P82675,RT05_HUMAN,MRPS5,"28S ribosomal protein S5, mitochondrial",6,274451,312094,322503,249174,193570,159766
P82914,P82914,RT15_HUMAN,MRPS15,"28S ribosomal protein S15, mitochondrial",4,278307,340738,326649,189616,192618,183028
Q6RFH5;Q6RFH5-2,E9PS41;Q6RFH5-2;Q6RFH5,WDR74-2_HUMAN;WDR74_HUMAN,WDR74,WD repeat-containing protein 74,5,230178,,,513894,407569,355100
Q13296;Q13296-2,Q13296-2;Q6NX70;Q13296,SG2A2-2_HUMAN;SG2A2_HUMAN,SCGB2A2,Mammaglobin-A,1,320782,631028,258675,72229.2,56849.6,160925
P45880;P45880-1;P45880-2,A0A0A0MR02;P45880-1;P45880-2;P45880,VDAC2-1_HUMAN;VDAC2-2_HUMAN;VDAC2_HUMAN,VDAC2,Voltage-dependent anion-selective channel protein 2,7,293905,293871,258206,188227,178706,287072
P60981;P60981-2,F6RFD5;P60981-2;P60981,DEST-2_HUMAN;DEST_HUMAN,DSTN,Destrin,4,259583,268060,180873,224866,151522,411922
Q6WKZ4;Q6WKZ4-3;Q6WKZ4-5,Q6WKZ4-3;Q6WKZ4-5;Q6WKZ4,RFIP1-3_HUMAN;RFIP1-5_HUMAN;RFIP1_HUMAN,RAB11FIP1,Rab11 family-interacting protein 1,3,363790,166782,139094,243810,408249,173588
Q9H3G5,H7C0X5;H7C218;Q9H3G5,CPVL_HUMAN,CPVL,Probable serine carboxypeptidase CPVL,3,249795,217984,205902,249149,328419,240577
Q9BVP2;Q9BVP2-2,Q9BVP2-2;Q9BVP2,GNL3-2_HUMAN;GNL3_HUMAN,GNL3,Guanine nucleotide-binding protein-like 3,4,183304,186043,256027,314581,262052,289432
P20290,D6RDG3;H0Y9Y1;P20290-2;P20290,BTF3_HUMAN,BTF3,Transcription factor BTF3,4,278085,129368,178398,235708,372825,295981
P28066,P28066,PSA5_HUMAN,PSMA5,Proteasome subunit alpha type-5,3,348731,340297,234282,92024.9,180264,294664
P82979,F8VZQ9;H0YHG0;P82979,SARNP_HUMAN,SARNP,SAP domain-containing ribonucleoprotein,5,318464,197312,,209613,353467,409138
Q9H3K6,A0A087WZT3;Q9H3K6,BOLA2_HUMAN,BOLA2B,BolA-like protein 2,2,300567,289003,,342738,119196,435405
Q9UGY1,Q9UGY1;V9GYY5,NOL12_HUMAN,NOL12,Nucleolar protein 12,1,289277,217300,269419,360308,347778,
P49419;P49419-2,A0A0J9YWF7;A0A1B0GTG2;A0A1B0GTJ4;A0A1B0GTY9;A0A1B0GUA1;A0A1B0GUY0;A0A1B0GV49;A0A1B0GW77;A0A1B0GW82;P49419-2;P49419-4;P49419,AL7A1-2_HUMAN;AL7A1_HUMAN,ALDH7A1,Alpha-aminoadipic semialdehyde dehydrogenase,6,308320,180280,,345878,286327,361809
Q9UBQ0;Q9UBQ0-2,F8VXU5;Q9UBQ0-2;Q9UBQ0,VPS29-2_HUMAN;VPS29_HUMAN,VPS29,Vacuolar protein sorting-associated protein 29,3,208055,322089,143043,173988,397159,237464
P00441,H7BYH4;P00441,SODC_HUMAN,SOD1,Superoxide dismutase [Cu-Zn],2,513649,537026,,57633.2,,373332
A8MTJ3;P04899;P04899-4;P08754;P09471;P09471-2;P11488;P19087;P38405;P38405-2;P63092;P63092-2;P63092-3;P63092-4;P63096;Q5JWF2;Q5JWF2-2,A0A087WTB6;A0A087WZE5;A0A1W2PQK2;A0A1W2PRE1;A0A1W2PRJ7;A0A1W2PS82;A0A3B3IUA8;A2A2R6;H0Y7E8;H0Y7F4;P04899-4;P09471-2;P38405-2;P63092;P63092-2;P63092-3;P63092-4;Q5JWD1;Q5JWE9;Q5JWF2-2;A8MTJ3;P04899;P08754;P09471;P11488;P19087;P38405;P63096;Q5JWF2,GNAI1_HUMAN;GNAI2-4_HUMAN;GNAI2_HUMAN;GNAI3_HUMAN;GNAL-2_HUMAN;GNAL_HUMAN;GNAO-2_HUMAN;GNAO_HUMAN;GNAS1-2_HUMAN;GNAS1_HUMAN;GNAS2-2_HUMAN;GNAS2-3_HUMAN;GNAS2-4_HUMAN;GNAS2_HUMAN;GNAT1_HUMAN;GNAT2_HUMAN;GNAT3_HUMAN,GNAI1;GNAI2;GNAI3;GNAL;GNAO1;GNAS;GNAT1;GNAT2;GNAT3,Guanine nucleotide-binding protein G(t) subunit alpha-3,1,409278,286001,171533,318586,,291279
Q9H0S4;Q9H0S4-2,Q9H0S4-2;Q9H0S4,DDX47-2_HUMAN;DDX47_HUMAN,DDX47,Probable ATP-dependent RNA helicase DDX47,3,175978,213844,370812,272926,246635,189757
P25788;P25788-2,G3V3W4;G3V5N4;P25788-2;P25788,PSA3-2_HUMAN;PSA3_HUMAN,PSMA3,Proteasome subunit alpha type-3,4,442975,373140,231036,107567,73826.8,240342
O95639,B7Z7B0;C9JEV9;H7C419;O95639-2;O95639-3;O95639,CPSF4_HUMAN,CPSF4,Cleavage and polyadenylation specificity factor subunit 4,7,435673,302886,162479,233765,139653,182829
Q86UE4,E5RJU9;H0YB56;Q86UE4,LYRIC_HUMAN,MTDH,Protein LYRIC,3,186999,254791,330845,221340,193270,268245
P30048;P30048-2,P30048-2;P30048,PRDX3-2_HUMAN;PRDX3_HUMAN,PRDX3,"Thioredoxin-dependent peroxide reductase, mitochondrial",6,259200,216189,226674,267348,269690,214184
Q9BYJ1;Q9BYJ1-2,J3KPH2;Q9BYJ1-2;Q9BYJ1,LOXE3-2_HUMAN;LOXE3_HUMAN,ALOXE3,Hydroperoxide isomerase ALOXE3,8,363320,465202,311624,70238.3,,242045
P20337;Q96E17,P20337;Q96E17,RAB3B_HUMAN;RAB3C_HUMAN,RAB3B;RAB3C,Ras-related protein Rab-3B,1,258679,313348,329943,281392,,261795
P56182,D6RE82;P56182,RRP1_HUMAN,RRP1,Ribosomal RNA processing protein 1 homolog A,5,200667,190501,178296,330156,243197,301911
P00558,P00558-2;P00558,PGK1_HUMAN,PGK1,Phosphoglycerate kinase 1,10,422430,228232,376667,29598.6,165518,221401
Q9Y5J1,Q9Y5J1,UTP18_HUMAN,UTP18,U3 small nucleolar RNA-associated protein 18 homolog,2,187122,269117,,317802,311952,353462
P33316;P33316-2,A0A0C4DGL3;H0YKC5;H0YKI0;H0YMM5;H0YMP1;H0YNJ9;H0YNW5;P33316-2;P33316,DUT-2_HUMAN;DUT_HUMAN,DUT,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial",5,255971,278400,100328,221919,205381,373468
Q9BUF5,K7ESM5;Q13509-2;A0A0B4J269;Q13509;Q9BUF5,TBB6_HUMAN,TUBB6,Tubulin beta-6 chain,3,396313,257822,172235,319252,44785.7,237638
Q8WTT2,Q8WTT2,NOC3L_HUMAN,NOC3L,Nucleolar complex protein 3 homolog,1,,,,,,1417200
P43235,P43235,CATK_HUMAN,CTSK,Cathepsin K,4,337433,,169686,265331,309215,333716
P49189;P49189-3,P49189-2;P49189-3;P49189,AL9A1-3_HUMAN;AL9A1_HUMAN,ALDH9A1,4-trimethylaminobutyraldehyde dehydrogenase,11,530577,246142,241426,58188.5,151360,187080
P07814,V9GYZ6;P07814,SYEP_HUMAN,EPRS,Bifunctional glutamate/proline--tRNA ligase,3,430880,251257,255687,155456,102133,215515
Q96KR1,Q96KR1,ZFR_HUMAN,ZFR,Zinc finger RNA-binding protein,8,236058,236219,366285,201693,181059,186523
Q1ED39,H3BMC9;Q1ED39,KNOP1_HUMAN,KNOP1,Lysine-rich nucleolar protein 1,8,156846,176017,169374,300741,378822,225134
M0QZM1,M0QZM1,M0QZM1_HUMAN,HNRNPM,"Isoform of P52272, Heterogeneous nuclear ribonucleoprotein M (Fragment)",1,228897,252581,291631,228046,179483,224146
Q9NQT4,Q9NQT4,EXOS5_HUMAN,EXOSC5,Exosome complex component RRP46,2,202791,186551,,438827,249969,326594
O43324;O43324-2,D6RBD7;D6RCQ0;H0YAL7;O43324-2;C9J1V9;O43324,MCA3-2_HUMAN;MCA3_HUMAN,EEF1E1,Eukaryotic translation elongation factor 1 epsilon-1,2,216309,143781,138828,262367,300088,341727
P30533,A0A3B3IRQ7;P30533,AMRP_HUMAN,LRPAP1,Alpha-2-macroglobulin receptor-associated protein,2,251590,197132,262285,248914,248771,190567
P21127;P21127-2;P21127-3;P21127-8,A0A0D9SEI3;A0A0D9SEN2;A0A0D9SER5;P21127-10;P21127-12;P21127-2;P21127-3;P21127-4;P21127-5;P21127-6;P21127-8;P21127-9;Q5QPR3;Q5QPR4;Q9UQ88-10;Q9UQ88-2;Q9UQ88-3;Q9UQ88-4;Q9UQ88-9;P21127;Q9UQ88,CD11B-2_HUMAN;CD11B-3_HUMAN;CD11B-8_HUMAN;CD11B_HUMAN,CDK11B,Cyclin-dependent kinase 11B,8,315756,404168,246309,280481,,151478
P55884;P55884-2,C9JQN7;C9JZG1;P55884-2;P55884,EIF3B-2_HUMAN;EIF3B_HUMAN,EIF3B,Eukaryotic translation initiation factor 3 subunit B,11,194614,217687,100093,269749,223348,392690
O00487,O00487,PSDE_HUMAN,PSMD14,26S proteasome non-ATPase regulatory subunit 14,2,207145,188227,140674,298654,296594,266531
P08842,P08842,STS_HUMAN,STS,Steryl-sulfatase,4,348709,210355,128042,,710178,
P50395,P50395-2;P50395,GDIB_HUMAN,GDI2,Rab GDP dissociation inhibitor beta,6,277606,326182,234487,106500,145294,307083
Q12926;Q12926-2,A0A0A0MRX1;C9JB16;Q12926-2;Q12926,ELAV2-2_HUMAN;ELAV2_HUMAN,ELAVL2,ELAV-like protein 2,3,290669,172739,198581,245266,312549,170607
Q9BYD2,Q9BYD2,RM09_HUMAN,MRPL9,"39S ribosomal protein L9, mitochondrial",4,163469,215988,172416,249089,375529,212213
Q8NAB2,G3V161;Q8NAB2,KBTB3_HUMAN,KBTBD3,Kelch repeat and BTB domain-containing protein 3,1,373819,264235,,382161,210754,155204
P25205;P25205-2,J3KQ69;P25205-2;P25205,MCM3-2_HUMAN;MCM3_HUMAN,MCM3,DNA replication licensing factor MCM3,16,223542,184033,246727,208143,285894,236386
Q8IYT4;Q8IYT4-2,K7EIJ8;K7EM02;Q8IYT4-2;Q8IYT4,KATL2-2_HUMAN;KATL2_HUMAN,KATNAL2,Katanin p60 ATPase-containing subunit A-like 2,1,320816,297428,266136,190198,146898,160840
P05090,C9JF17;C9JX71;P05090,APOD_HUMAN,APOD,Apolipoprotein D,4,158519,900711,129788,,,192965
Q9NV06,A0A087WT20;Q9NV06,DCA13_HUMAN,DCAF13,DDB1- and CUL4-associated factor 13,7,256516,276971,111421,299919,101290,334571
P61224;P61224-2;P61224-3,A0A075B6Q0;E7ESV4;F5GWU8;F5GX62;F5GYB5;F5GYH7;F5H004;F5H077;F5H0B7;F5H491;F5H4H0;F5H500;F5H6R7;F5H7Y6;P61224-2;P61224-3;A6NIZ1;P61224;P62834,RAP1B-2_HUMAN;RAP1B-3_HUMAN;RAP1B_HUMAN,RAP1B,Ras-related protein Rap-1b,5,300667,221469,,321944,325157,208659
P27694,P27694,RFA1_HUMAN,RPA1,Replication protein A 70 kDa DNA-binding subunit,3,144216,282334,,231443,461229,252967
Q14241,A0A024RAC6;Q14241,ELOA1_HUMAN,ELOA,Elongin-A,2,214262,,,422166,237841,493074
P61927,D6RG19;P61927,RL37_HUMAN,RPL37,60S ribosomal protein L37,2,243983,174199,,333901,322638,289000
Q9BQA1,H0Y711;Q9BQA1,MEP50_HUMAN,WDR77,Methylosome protein 50,5,314150,162250,176154,243696,242781,223936
Q8WU90,F8WB26;F8WF67;Q8WU90,ZC3HF_HUMAN,ZC3H15,Zinc finger CCCH domain-containing protein 15,2,281290,,133039,248286,316337,381226
P11177;P11177-2;P11177-3,C9J634;F8WF02;P11177-2;P11177-3;P11177,ODPB-2_HUMAN;ODPB-3_HUMAN;ODPB_HUMAN,PDHB,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",8,229444,186858,206492,291658,219971,215594
P61009,P61009,SPCS3_HUMAN,SPCS3,Signal peptidase complex subunit 3,3,231677,354570,,203846,361242,198351
H3BTH1,H3BTH1,H3BTH1_HUMAN,TIPIN,"Isoform of Q9BVW5, TIMELESS-interacting protein (Fragment)",1,225316,204120,111931,170890,86808.3,548239
Q2Q1W2,Q2Q1W2,LIN41_HUMAN,TRIM71,E3 ubiquitin-protein ligase TRIM71,6,207871,173284,358811,212487,226876,164795
P04075;P04075-2,H3BMQ8;H3BPS8;H3BQN4;H3BR04;H3BU78;H3BUH7;J3KPS3;P04075-2;P04075,ALDOA-2_HUMAN;ALDOA_HUMAN,ALDOA,Fructose-bisphosphate aldolase A,6,258479,217153,247494,85457.5,238287,295972
Q9Y2P8,Q5VZU2;Q5VZU3;Q9Y2P8-2;Q9Y2P8,RCL1_HUMAN,RCL1,RNA 3'-terminal phosphate cyclase-like protein,7,146304,161300,,394483,263253,376098
P02794,G3V192;G3V1D1;P02794,FRIH_HUMAN,FTH1,Ferritin heavy chain,3,265794,321142,89533.7,242216,190290,232201
Q96EP5;Q96EP5-2,K7EK33;K7EQ02;K7EQ55;Q96EP5-2;Q96EP5,DAZP1-2_HUMAN;DAZP1_HUMAN,DAZAP1,DAZ-associated protein 1,2,237690,169559,237923,228687,260696,202349
Q9BRP8;Q9BRP8-2,Q9BRP8-2;Q9BRP8,PYM1-2_HUMAN;PYM1_HUMAN,PYM1,Partner of Y14 and mago,5,205950,217279,156216,162581,169409,422468
Q8WYP5;Q8WYP5-2;Q8WYP5-3,Q8WYP5-2;Q8WYP5-3;Q8WYP5,ELYS-2_HUMAN;ELYS-3_HUMAN;ELYS_HUMAN,AHCTF1,Protein ELYS,4,230371,164517,,350836,258640,328357
Q9BTC8;Q9BTC8-2,D6W5A2;E7EQY4;E7EV10;E9PCS8;Q9BTC8-2;Q9BTC8,MTA3-2_HUMAN;MTA3_HUMAN,MTA3,Metastasis-associated protein MTA3,5,284375,185349,165741,243302,228323,222922
P51153,A0A087WWB9;P51153,RAB13_HUMAN,RAB13,Ras-related protein Rab-13,4,206969,162420,257399,272248,238576,192151
P62633;P62633-2;P62633-4;P62633-5;P62633-6;P62633-8,P62633-2;P62633-3;P62633-4;P62633-5;P62633-6;P62633-7;P62633-8;P62633,CNBP-2_HUMAN;CNBP-4_HUMAN;CNBP-5_HUMAN;CNBP-6_HUMAN;CNBP-8_HUMAN;CNBP_HUMAN,CNBP,Cellular nucleic acid-binding protein,2,167774,246275,100931,234523,150519,428568
P53634,P53634,CATC_HUMAN,CTSC,Dipeptidyl peptidase 1,8,265011,188173,209381,195343,180791,283422
P12081;P12081-2;P12081-3;P12081-4,A0A2R8Y3N3;A0A2R8Y4X6;A0A2R8Y5E8;A0A2R8Y5P7;A0A2R8Y6I1;B3KWE1;D6RJE6;P12081-2;P12081-3;P12081-4;P49590-2;P12081;P49590,SYHC-2_HUMAN;SYHC-3_HUMAN;SYHC-4_HUMAN;SYHC_HUMAN,HARS,"Histidine--tRNA ligase, cytoplasmic",6,611497,280431,,,225922,203676
Q9HCE1,Q5JR04;Q9HCE1,MOV10_HUMAN,MOV10,Helicase MOV-10,10,259541,254947,328373,211254,74194,193031
O00330;O00330-2;O00330-3,H0YD97;O00330-2;O00330-3;O00330,ODPX-2_HUMAN;ODPX-3_HUMAN;ODPX_HUMAN,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",2,356035,,,233099,386556,344139
P26641;P26641-2,P26641-2;P26641,EF1G-2_HUMAN;EF1G_HUMAN,EEF1G,Elongation factor 1-gamma,6,243438,285176,,291424,176156,318860
P62979,A0A2R8Y422;P62979,RS27A_HUMAN,RPS27A,Ubiquitin-40S ribosomal protein S27a,4,254573,152757,131330,490075,285733,
P11310;P11310-2,B7Z9I1;E9PJM9;P11310-2;Q5T4U5;P11310,ACADM-2_HUMAN;ACADM_HUMAN,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",5,112488,152848,364089,230965,209333,240228
O14579;O14579-3,M0QXB4;O14579-2;O14579-3;O14579,COPE-3_HUMAN;COPE_HUMAN,COPE,Coatomer subunit epsilon,2,250701,267442,,297711,228500,265437
Q5JSH3-3,Q5JSH3-3,WDR44-3_HUMAN,WDR44,"Isoform of Q5JSH3, Isoform 3 of WD repeat-containing protein 44",1,171658,241760,,271679,344757,267947
Q969X5;Q969X5-2,Q969X5-2;Q969X5,ERGI1-2_HUMAN;ERGI1_HUMAN,ERGIC1,Endoplasmic reticulum-Golgi intermediate compartment protein 1,6,311463,202100,344436,183153,132639,122107
Q9Y5L4,K7EIT2;Q9Y5L4,TIM13_HUMAN,TIMM13,Mitochondrial import inner membrane translocase subunit Tim13,4,306216,441826,178848,52985.4,73787.7,241075
Q9BSC4;Q9BSC4-2;Q9BSC4-4,Q9BSC4-2;Q9BSC4-4;Q9BSC4,NOL10-2_HUMAN;NOL10-4_HUMAN;NOL10_HUMAN,NOL10,Nucleolar protein 10,2,192804,179920,216113,270154,218967,209950
Q92820,Q92820,GGH_HUMAN,GGH,Gamma-glutamyl hydrolase,4,404941,211653,171655,133856,139240,220396
P06730;P06730-2;P06730-3,D6RBW1;H0Y8J7;P06730-2;P06730-3;P06730,IF4E-2_HUMAN;IF4E-3_HUMAN;IF4E_HUMAN,EIF4E,Eukaryotic translation initiation factor 4E,5,274461,159076,38923.9,282052,250724,274696
O43314;O43314-2,A0A087WWN8;A0A087WZV0;H0Y9S9;K7ENU7;O43314-2;O43314,VIP2-2_HUMAN;VIP2_HUMAN,PPIP5K2,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2,1,231728,75252,173023,289612,,509569
A0A3B3ISR4,A0A3B3ISR4,A0A3B3ISR4_HUMAN,ITPR1,"Isoform of Q14643, Inositol 1,4,5-trisphosphate receptor type 1 (Fragment)",1,629777,272659,250047,,,124411
Q9H1E3;Q9H1E3-2,Q9H1E3-2;Q9H1E3,NUCKS-2_HUMAN;NUCKS_HUMAN,NUCKS1,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,1,201653,182136,291536,188840,203829,206102
Q6UX04,D6REK3;Q6UX04-2;Q6UX04,CWC27_HUMAN,CWC27,Spliceosome-associated protein CWC27 homolog,5,336556,225807,,227601,273128,208532
P63010;P63010-2;P63010-3,A0A087X253;P63010-2;P63010-3;P63010,AP2B1-2_HUMAN;AP2B1-3_HUMAN;AP2B1_HUMAN,AP2B1,AP-2 complex subunit beta,4,251673,189553,216004,232019,125615,253056
P51970,P51970,NDUA8_HUMAN,NDUFA8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,5,231821,146093,171044,217574,204819,294158
O95359-2;O95359-3,A0A0U1RRM9;B4E3H6;D6RAA5;E7EMZ9;E7ET87;E7EVI4;E9PBC6;H0Y9C3;H0YAY0;H0YBT8;O75410-2;O75410-3;O75410-4;O75410-5;O75410-6;O75410-7;O95359-1;O95359-2;O95359-3;O95359-5;O95359-6;Q4VXL4;Q4VXL8;O75410;O95359,TACC2-2_HUMAN;TACC2-3_HUMAN,TACC2,"Isoform of O95359, Isoform 2 of Transforming acidic coiled-coil-containing protein 2",3,261489,258061,187021,155509,255847,146489
Q8TDN6,Q8TDN6,BRX1_HUMAN,BRIX1,Ribosome biogenesis protein BRX1 homolog,3,163323,141424,,288086,324975,340227
P04844;P04844-2,P04844-2;P04844,RPN2-2_HUMAN;RPN2_HUMAN,RPN2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,4,280318,228089,206310,134489,146207,261905
Q86XP3;Q86XP3-2,A0A0A0MSJ0;Q86XP3-2;Q86XP3,DDX42-2_HUMAN;DDX42_HUMAN,DDX42,ATP-dependent RNA helicase DDX42,3,175448,268361,312562,207504,172026,120124
P61916;P61916-2,E7EMS2;G3V2V8;G3V3D1;G3V3E8;H0YIZ1;J3KMY5;P61916-2;P61916,NPC2-2_HUMAN;NPC2_HUMAN,NPC2,NPC intracellular cholesterol transporter 2,3,249803,309250,116690,143586,160017,267466
Q96FJ2,Q96FJ2,DYL2_HUMAN,DYNLL2,"Dynein light chain 2, cytoplasmic",1,227692,236614,,207907,200176,372838
Q5HYI8,Q5HYI8,RABL3_HUMAN,RABL3,Rab-like protein 3,3,293116,176879,,338746,261061,173856
Q9Y3R4,Q9Y3R4,NEUR2_HUMAN,NEU2,Sialidase-2,3,312508,358380,317516,,,254793
O75489,O75489,NDUS3_HUMAN,NDUFS3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",4,159288,336662,,255044,229792,262266
P07237,H0Y3Z3;H7BZ94;I3L398;P07237,PDIA1_HUMAN,P4HB,Protein disulfide-isomerase,12,217829,167806,321629,199951,197989,135113
P09211,A0A2R8Y5E5;A8MX94;P09211,GSTP1_HUMAN,GSTP1,Glutathione S-transferase P,6,204933,299546,213012,129997,108331,284344
Q8WW12,Q8WW12-2;Q8WW12,PCNP_HUMAN,PCNP,PEST proteolytic signal-containing nuclear protein,3,213176,157033,141263,212002,321543,194752
P61619,A6NIF9;A6NK38;B4DR61;C9JJV4;C9JXC6;F2Z2C7;F8W776;H7C069;H7C1Q9;Q8TC24;Q9H9S3-2;Q9H9S3-3;P61619;Q9H9S3,S61A1_HUMAN,SEC61A1,Protein transport protein Sec61 subunit alpha isoform 1,4,310798,187362,183171,177704,107288,271121
P11169;Q8TDB8;Q8TDB8-2;Q8TDB8-4;Q8TDB8-5,Q8TDB8-2;Q8TDB8-3;Q8TDB8-4;Q8TDB8-5;P11169;Q8TDB8,GTR14-2_HUMAN;GTR14-4_HUMAN;GTR14-5_HUMAN;GTR14_HUMAN;GTR3_HUMAN,SLC2A14;SLC2A3,"Solute carrier family 2, facilitated glucose transporter member 3",3,253364,217513,216498,204679,194304,150244
Q14966;Q14966-3,Q14966-2;Q14966-3;Q14966-4;Q14966-6;Q14966,ZN638-3_HUMAN;ZN638_HUMAN,ZNF638,Zinc finger protein 638,8,223854,212743,206695,209970,217237,165350
O95983;O95983-2,A0A087WT34;A0A087WZ12;A0A087X1H1;A0A0A0MTS6;K7EIE8;O95983-2;O95983,MBD3-2_HUMAN;MBD3_HUMAN,MBD3,Methyl-CpG-binding domain protein 3,5,234396,151475,234046,237924,112610,261517
Q8IWS0;Q8IWS0-3;Q8IWS0-5,A0A0D9SGE8;Q5JRC6;Q8IWS0-3;Q8IWS0-5;Q8IWS0,PHF6-3_HUMAN;PHF6-5_HUMAN;PHF6_HUMAN,PHF6,PHD finger protein 6,3,190682,210364,84822.1,331568,269809,144387
O14734,E9PJN0;H7C5A7;O14734,ACOT8_HUMAN,ACOT8,Acyl-coenzyme A thioesterase 8,3,246845,179885,,281577,310632,210640
Q9BU61,Q9BU61,NDUF3_HUMAN,NDUFAF3,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3,5,230479,197791,,268985,286807,243012
P04843,B7Z4L4;P04843,RPN1_HUMAN,RPN1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,11,380941,193387,224278,115427,94613.2,216023
Q14574-2,Q14574-2;Q14574,DSC3-2_HUMAN,DSC3,"Isoform of Q14574, Isoform 3B of Desmocollin-3",9,665846,226508,,,154938,172715
Q14247,Q14247-2;Q14247-3;Q14247,SRC8_HUMAN,CTTN,Src substrate cortactin,5,207587,223653,174490,154176,223228,235588
Q9UHD8;Q9UHD8-2;Q9UHD8-5;Q9UHD8-7,K7EK18;K7EL40;Q9UHD8-2;Q9UHD8-3;Q9UHD8-4;Q9UHD8-5;Q9UHD8-7;Q9UHD8-8;Q9UHD8-9;Q9UHD8,SEPT9-2_HUMAN;SEPT9-5_HUMAN;SEPT9-7_HUMAN;SEPT9_HUMAN,9-Sep,Septin-9,5,106565,93411,104303,295128,351312,261817
P31948;P31948-2;P31948-3,F5H783;P31948-2;P31948-3;P31948,STIP1-2_HUMAN;STIP1-3_HUMAN;STIP1_HUMAN,STIP1,Stress-induced-phosphoprotein 1,3,161006,116102,,222005,287270,423460
P60468,P60468,SC61B_HUMAN,SEC61B,Protein transport protein Sec61 subunit beta,3,254259,197262,197270,189883,129815,239032
Q3MHD2;Q3MHD2-2,K7ELG9;Q3MHD2-2;Q3MHD2,LSM12-2_HUMAN;LSM12_HUMAN,LSM12,Protein LSM12 homolog,2,155078,80236.5,,307577,445586,218631
Q92917,Q92917,GPKOW_HUMAN,GPKOW,G-patch domain and KOW motifs-containing protein,3,215229,198319,142237,260681,244406,142330
Q8TED0,H0Y8P4;Q8TED0-3;Q8TED0,UTP15_HUMAN,UTP15,U3 small nucleolar RNA-associated protein 15 homolog,7,143079,174173,216771,225906,200296,241225
Q13523,H0YDJ3;Q13523,PRP4B_HUMAN,PRPF4B,Serine/threonine-protein kinase PRP4 homolog,14,265888,292570,227106,213212,,201766
Q9NX40,D6RBN5;D6RDK6;Q9NX40,OCAD1_HUMAN,OCIAD1,OCIA domain-containing protein 1,2,185782,168921,183342,215910,208896,236677
P47756-2,B1AK87;B1AK88;P47756-2,CAPZB-2_HUMAN,CAPZB,"Isoform of P47756, Isoform 2 of F-actin-capping protein subunit beta",9,277042,179997,213187,134095,171133,223937
P14854,A0A494C160;K7EQD3;P14854,CX6B1_HUMAN,COX6B1,Cytochrome c oxidase subunit 6B1,4,207640,463950,,60394.9,129433,336571
Q92621,Q92621,NU205_HUMAN,NUP205,Nuclear pore complex protein Nup205,1,,,587934,,609432,
P47813,A6NJH9;X6RAC9;O14602;P47813,IF1AX_HUMAN,EIF1AX,"Eukaryotic translation initiation factor 1A, X-chromosomal",3,286287,250120,,299380,355722,
Q9BXK1,Q9BXK1,KLF16_HUMAN,KLF16,Krueppel-like factor 16,1,211675,190757,163816,212842,162837,244441
P60660;P60660-2,B7Z6Z4;F8VPF3;F8VZU9;F8W180;F8W1R7;G3V1V0;G3V1Y7;G8JLA2;H0YI43;J3KND3;P60660-2;P60660,MYL6-2_HUMAN;MYL6_HUMAN,MYL6,Myosin light polypeptide 6,6,265435,206797,,214388,45133,449691
Q9GZS3,H0YL19;H0YN81;H3BQA8;Q9GZS3,WDR61_HUMAN,WDR61,WD repeat-containing protein 61,3,254022,164138,161518,209610,198350,186834
Q96JJ3;Q96JJ3-3,H0YCM7;Q5JVZ5;Q5JVZ8;Q96JJ3-3;Q96JJ3,ELMO2-3_HUMAN;ELMO2_HUMAN,ELMO2,Engulfment and cell motility protein 2,2,165005,167630,188038,196134,195201,260720
P49368;P49368-2,B4DUR8;P49368-2;P49368,TCPG-2_HUMAN;TCPG_HUMAN,CCT3,T-complex protein 1 subunit gamma,7,200169,205719,183762,234491,94888,252533
P17480;P17480-2,E9PKP7;E9PMM2;P17480-2;P17480,UBF1-2_HUMAN;UBF1_HUMAN,UBTF,Nucleolar transcription factor 1,5,155035,129505,198571,238669,194148,251279
Q9H5V9;Q9H5V9-3,Q9H5V9-3;Q9H5V9,CX056-3_HUMAN;CX056_HUMAN,CXorf56,UPF0428 protein CXorf56,7,218943,139149,105122,236599,315964,151260
Q9BVG4,A6NDF3;Q9BVG4,PBDC1_HUMAN,PBDC1,Protein PBDC1,2,161722,132541,165976,192076,290542,220377
P40926,P40926-2;P40926,MDHM_HUMAN,MDH2,"Malate dehydrogenase, mitochondrial",9,224901,146092,191416,165140,230973,201960
Q9NPD3,E9PI41;Q9NPD3,EXOS4_HUMAN,EXOSC4,Exosome complex component RRP41,1,354279,,,806038,,
P41091,H7BZU1;P41091,IF2G_HUMAN,EIF2S3,Eukaryotic translation initiation factor 2 subunit 3,7,197657,109194,,278233,329225,228948
