Protein.Group,Protein.Ids,Protein.Names,Genes,Peptides,First.Protein.Description,NanogAbk_1,NanogAbk_2,NanogAbk_3,NanogBock_1,NanogBock_2,NanogBock_3,TBPAbk_1,TBPAbk_2,TBPAbk_3,TBPBock_1,TBPBock_2,TBPBock_3
P19474,P19474,RO52_HUMAN,TRIM21,4,E3 ubiquitin-protein ligase TRIM21,223565,200966,240833,324293,241461,,238020,176906,219250,180328,278654,394474
Q96CW1;Q96CW1-2,A0A087WY71;C9JGT8;C9JJ47;C9JJD3;C9JPV8;C9JTK4;E9PFW3;Q96CW1-2;Q96CW1,AP2M1-2_HUMAN;AP2M1_HUMAN,AP2M1,6,AP-2 complex subunit mu,315245,308004,281264,210215,336135,53252.4,177626,231910,94166.4,,560594,147294
Q9HC84,Q9HC84,MUC5B_HUMAN,MUC5B,9,Mucin-5B,,,159607,,1597460,,,,956879,,,
Q14320,B0S8I6;Q14320;Q9Y247,FA50A_HUMAN,FAM50A,5,Protein FAM50A,323051,343829,295374,317991,177432,169670,203255,195001,133829,172307,174641,206459
P51398;P51398-2;P51398-3,P51398-2;P51398-3;V9GYL9;V9GZ03;P51398,RT29-2_HUMAN;RT29-3_HUMAN;RT29_HUMAN,DAP3,7,"28S ribosomal protein S29, mitochondrial",483757,440384,483798,231361,91157.8,,280842,240444,129809,,182046,137407
Q9BQ61,Q9BQ61,TRIR_HUMAN,TRIR,2,Telomerase RNA component interacting RNase,208288,282672,238129,97525.3,,177580,206910,227309,250880,335743,315576,357405
P23588,E7EX17;P23588-2;P23588,IF4B_HUMAN,EIF4B,5,Eukaryotic translation initiation factor 4B,150007,204707,166192,,,199987,260111,457164,526153,258382,238891,220570
Q99536,K7ERT7;Q99536,VAT1_HUMAN,VAT1,2,Synaptic vesicle membrane protein VAT-1 homolog,197998,180752,157867,361762,424566,,235279,295989,,,558359,258554
A0A0C4DH55;P01624,A0A075B6H7;A0A0C4DH55;A0A0C4DH90;P01624,KV315_HUMAN;KVD07_HUMAN,IGKV3-15;IGKV3D-7,1,Immunoglobulin kappa variable 3D-7,160176,99618.8,181129,247838,546632,,60886.9,197931,407748,,199282,558920
P82930,C9JJ19;P82930,RT34_HUMAN,MRPS34,6,"28S ribosomal protein S34, mitochondrial",337073,337113,360614,289555,247174,139162,163796,208212,184333,94909.1,142160,128528
Q13823,Q13823,NOG2_HUMAN,GNL2,3,Nucleolar GTP-binding protein 2,227406,265755,234491,,82035.5,124182,309226,340555,269744,267814,241925,268380
Q9UKJ3,K7EKU0;Q9UKJ3,GPTC8_HUMAN,GPATCH8,11,G patch domain-containing protein 8,239949,267374,214745,238909,229283,269329,210041,208068,214600,193816,181538,163220
P33992,B1AHB1;P33992,MCM5_HUMAN,MCM5,8,DNA replication licensing factor MCM5,291606,263514,313116,261677,220038,,275053,218330,248221,194291,157056,183107
P18859;P18859-2,P18859-2;P18859,ATP5J-2_HUMAN;ATP5J_HUMAN,ATP5PF,2,"ATP synthase-coupling factor 6, mitochondrial",,212833,149712,,,,482814,465249,416234,254920,353051,290319
Q07954,Q07954,LRP1_HUMAN,LRP1,26,Prolow-density lipoprotein receptor-related protein 1,339052,326988,343162,195352,138230,,186115,213500,200636,187483,235596,257904
P37268,A0A1W2PQ47;E9PJG4;E9PNM1;E9PS69;P37268-2;P37268-3;P37268-4;P37268,FDFT_HUMAN,FDFT1,7,Squalene synthase,370683,364498,369287,196062,221825,,263933,189723,210506,108166,156274,167177
Q96NB3,Q96NB3,ZN830_HUMAN,ZNF830,6,Zinc finger protein 830,512202,442742,453477,,,,276940,329381,451430,,,142198
O15144,O15144,ARPC2_HUMAN,ARPC2,6,Actin-related protein 2/3 complex subunit 2,252274,204485,264669,105286,183852,,266492,362249,261632,216782,205609,274750
P04843,B7Z4L4;P04843,RPN1_HUMAN,RPN1,10,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,321543,257846,325118,225433,182014,,246332,233565,230383,,347682,219088
A6NCE7;Q9GZQ8;Q9H492;Q9H492-2,H3BTL1;Q9H492-2;A6NCE7;Q9GZQ8;Q9H492,MLP3A-2_HUMAN;MLP3A_HUMAN;MLP3B_HUMAN;MP3B2_HUMAN,MAP1LC3A;MAP1LC3B;MAP1LC3B2,1,Microtubule-associated proteins 1A/1B light chain 3 beta 2,259608,251999,,170567,,,467170,467546,464330,,256422,245243
P19387,P19387,RPB3_HUMAN,POLR2C,3,DNA-directed RNA polymerase II subunit RPB3,260890,280314,321686,168505,218939,228178,142159,184207,135346,220971,217651,201111
Q9NWT8,Q9NWT8,AKIP_HUMAN,AURKAIP1,1,Aurora kinase A-interacting protein,171874,126816,187197,33246,205159,,291944,242476,211185,321632,419712,366671
Q16831,Q16831,UPP1_HUMAN,UPP1,5,Uridine phosphorylase 1,343244,253994,314139,,,,322836,366193,278124,226986,228739,238457
Q96EH3,Q96EH3,MASU1_HUMAN,MALSU1,3,Mitochondrial assembly of ribosomal large subunit protein 1,301738,288293,303598,,144522,,330560,274560,248172,201512,239069,227764
Q92598;Q92598-2;Q92598-3,Q92598-2;Q92598-3;Q92598-4;Q92598,HS105-2_HUMAN;HS105-3_HUMAN;HS105_HUMAN,HSPH1,11,Heat shock protein 105 kDa,268856,213900,277017,219134,139077,,294361,266208,206330,258980,203986,210195
Q7KZI7;Q7KZI7-11;Q7KZI7-12;Q7KZI7-14;Q7KZI7-3;Q7KZI7-6;Q7KZI7-8,E7ETY4;E9PC69;Q7KZI7-10;Q7KZI7-11;Q7KZI7-12;Q7KZI7-13;Q7KZI7-14;Q7KZI7-15;Q7KZI7-16;Q7KZI7-2;Q7KZI7-3;Q7KZI7-4;Q7KZI7-5;Q7KZI7-6;Q7KZI7-7;Q7KZI7-8;Q7KZI7-9;Q7KZI7,MARK2-11_HUMAN;MARK2-12_HUMAN;MARK2-14_HUMAN;MARK2-3_HUMAN;MARK2-6_HUMAN;MARK2-8_HUMAN;MARK2_HUMAN,MARK2,6,Serine/threonine-protein kinase MARK2,229391,251764,229869,192458,211491,,288639,261232,286174,194528,227709,182965
P51970,P51970,NDUA8_HUMAN,NDUFA8,3,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,283188,297206,294347,90454.1,90705.8,,343034,355979,310632,112032,188477,187910
P56385,P56385,ATP5I_HUMAN,ATP5ME,3,"ATP synthase subunit e, mitochondrial",242874,261107,268290,152923,,,356826,265881,362339,197444,196955,248424
Q8N983-4,B1AL05;H0Y6Y8;M0R051;Q8N983-2;Q8N983-3;Q8N983-4;Q8N983-6;Q8N983-7;Q8N983,RM43-4_HUMAN,MRPL43,6,"Isoform of Q8N983, Isoform 4 of 39S ribosomal protein L43, mitochondrial",367128,350299,370539,127157,183748,,289616,256390,226810,,190070,186342
Q8IWZ8,V9GZ08;Q8IWZ8,SUGP1_HUMAN,SUGP1,10,SURP and G-patch domain-containing protein 1,267306,265746,268298,169040,232698,,231708,233686,154511,201378,277474,245753
Q9Y2V2,H3BNU9;H3BPY5;H3BSW7;H3BTK3;H3BUY4;I3L3X8;Q9Y2V2,CHSP1_HUMAN,CARHSP1,1,Calcium-regulated heat-stable protein 1,249740,241472,251008,,,,281339,388976,469869,208115,190927,265261
P67870,A0A0G2JM12;N0E472;Q5SRQ3;Q5SRQ6;P67870,CSK2B_HUMAN,CSNK2B,4,Casein kinase II subunit beta,396190,310095,352827,251037,126687,,238002,113533,300487,,225967,225080
Q9BYQ9,A0A0G2JPP1;H7BXR9;A0A0G2JLE6;Q9BYQ9,KRA48_HUMAN,KRTAP4-8,3,Keratin-associated protein 4-8,87888.8,,1798980,351466,,,,87175.5,,,203360,
Q3LI64,Q3LI64,KRA61_HUMAN,KRTAP6-1,1,Keratin-associated protein 6-1,,,2527770,,,,,,,,,
Q9NW82,Q9NW82,WDR70_HUMAN,WDR70,7,WD repeat-containing protein 70,248136,264353,280007,272257,306745,,261549,173796,187884,151785,167153,213957
Q04118,A0A0G2JNB4;A0A0G2JPD0;E7EXA8;E9PAL0;F5H7C1;P10163;Q04118,PRB3_HUMAN,PRB3,2,Basic salivary proline-rich protein 3,300086,296908,318251,,,,383308,337400,335864,,279465,271319
Q9P258,Q9P258,RCC2_HUMAN,RCC2,9,Protein RCC2,402528,345577,361527,262600,181528,,241861,218432,311328,,95130.8,101758
Q9Y3B2,B1AMU3;B1AMU4;B1AMU7;R4GNH9;Q9Y3B2,EXOS1_HUMAN,EXOSC1,5,Exosome complex component CSL4,194665,196752,216416,199509,276028,847675,211099,220045,,,,159523
P05091,H0Y2X5;H0YMG7;O94788-2;O94788-3;O94788-4;P05091-2;O94788;P00352;P05091;P30837;P47895,ALDH2_HUMAN,ALDH2,7,"Aldehyde dehydrogenase, mitochondrial",332702,342166,416457,332341,261882,,218322,153639,158735,,41662.2,262904
P00915,E5RFE7;E5RG43;E5RG81;E5RH81;E5RHP7;E5RIF9;E5RJF6;E5RJI8;H0YBE2;P00915,CAH1_HUMAN,CA1,3,Carbonic anhydrase 1,110137,127503,112738,316446,359298,555348,113764,201087,181900,163592,105061,167152
Q9H5V9;Q9H5V9-3,Q9H5V9-2;Q9H5V9-3;Q9H5V9,CX056-3_HUMAN;CX056_HUMAN,CXorf56,6,UPF0428 protein CXorf56,290615,285478,295360,219296,127946,83699.1,232484,214605,136843,152412,226247,246425
Q6UXN9,Q6UXN9,WDR82_HUMAN,WDR82,3,WD repeat-containing protein 82,276874,252383,308219,191229,,,233937,125383,495373,213779,171548,239306
O60264,A0A0A0MRP6;B7ZLQ5;P28370-2;O60264;P28370,SMCA5_HUMAN,SMARCA5,17,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,260087,234834,244678,173317,236977,303261,208121,196983,183643,130251,175831,159604
Q13428;Q13428-3;Q13428-4,A0A3B3IS06;E7ETY2;J3KQ96;Q13428-2;Q13428-3;Q13428-4;Q13428-6;Q13428-7;Q13428-8;Q13428,TCOF-3_HUMAN;TCOF-4_HUMAN;TCOF_HUMAN,TCOF1,12,Treacle protein,186793,192670,197409,150887,217566,231324,249053,321030,281494,262075,95675,120846
Q7Z6E9;Q7Z6E9-2,A0A2R8Y880;H3BSK8;Q7Z6E9-2;Q7Z6E9,RBBP6-2_HUMAN;RBBP6_HUMAN,RBBP6,10,E3 ubiquitin-protein ligase RBBP6,237576,225846,281003,592223,346126,,127272,151509,,200617,196915,144680
Q14204,A0A2R8Y6H2;A0A2R8Y706;A0A2R8YFZ7;Q14204,DYHC1_HUMAN,DYNC1H1,32,Cytoplasmic dynein 1 heavy chain 1,236376,260306,246262,250400,166527,,243907,206433,185436,159138,203957,340335
P30876,A0A1W2PPT5;C9J2Y9;C9J4M6;P30876,RPB2_HUMAN,POLR2B,11,DNA-directed RNA polymerase II subunit RPB2,333052,345085,331877,311203,294719,,202018,227179,,,217727,232705
P53621;P53621-2,A0A3B3IS84;A0A3B3ISC6;A0A3B3IT15;A0A3B3ITI7;P53621-2;P53621,COPA-2_HUMAN;COPA_HUMAN,COPA,13,Coatomer subunit alpha,239868,243749,235467,99647.5,222209,,271549,245837,227668,248231,209129,249884
O43854;O43854-2,O43854-2;O43854,EDIL3-2_HUMAN;EDIL3_HUMAN,EDIL3,4,EGF-like repeat and discoidin I-like domain-containing protein 3,229246,275522,252994,,,,287328,369996,303268,275000,250310,246873
P24928,P24928,RPB1_HUMAN,POLR2A,19,DNA-directed RNA polymerase II subunit RPB1,258092,225725,258616,303858,305563,315574,111214,134135,131427,155758,134086,153714
P37837,F2Z393;P37837,TALDO_HUMAN,TALDO1,4,Transaldolase,193097,98115.1,99120.1,387029,246181,,72121.3,176986,198830,292898,454267,246093
Q13296;Q13296-2,Q13296-2;Q6NX70;Q13296,SG2A2-2_HUMAN;SG2A2_HUMAN,SCGB2A2,1,Mammaglobin-A,227331,,93855.5,818751,153866,,76416.6,211858,,389747,208108,284687
Q8NDT2,Q8NDT2,RB15B_HUMAN,RBM15B,8,Putative RNA-binding protein 15B,236916,228873,245981,216838,188281,252976,174590,243926,250782,150209,125497,146455
P23526;P23526-2,P23526-2;P23526,SAHH-2_HUMAN;SAHH_HUMAN,AHCY,6,Adenosylhomocysteinase,182175,96302.1,164698,380722,360140,,188704,215657,184747,199269,307170,175236
P27816;P27816-6,E7EVA0;P27816-2;P27816-6;P27816,MAP4-6_HUMAN;MAP4_HUMAN,MAP4,19,Microtubule-associated protein 4,205640,271539,212057,111491,106091,,344389,377753,355979,140651,158155,166359
P05023;P05023-3;P05023-4,A0A0A0MT26;B1AKY9;M0QXF2;M0R116;P05023-2;P05023-3;P05023-4;P13637-2;P13637-3;A0A2R8YEY8;P05023;P13637;P20648;P50993,AT1A1-3_HUMAN;AT1A1-4_HUMAN;AT1A1_HUMAN,ATP1A1,12,Sodium/potassium-transporting ATPase subunit alpha-1,300274,288748,297217,175688,213075,,233978,233257,202447,,264259,240680
Q9BRJ2,A0A087WU62;A0A087X2D5;A0A0G2JMS5;Q9BRJ2,RM45_HUMAN,MRPL45,6,"39S ribosomal protein L45, mitochondrial",373409,329733,370840,223035,247127,,278393,267287,168015,,,190615
O60870,O60870-2;O60870,KIN17_HUMAN,KIN,3,DNA/RNA-binding protein KIN17,575210,626517,552804,,,,532399,,,,161366,
B4DPS1,B4DPS1,B4DPS1_HUMAN,STK16,1,"Isoform of O75716, Serine/threonine-protein kinase 16",299822,252529,254249,,74081.9,,314343,387119,293694,202375,154756,213599
Q96AE4;Q96AE4-2,C9JSZ1;E9PEB5;Q96AE4-2;Q96AE4,FUBP1-2_HUMAN;FUBP1_HUMAN,FUBP1,5,Far upstream element-binding protein 1,337744,278983,346547,,,,382102,298990,665136,,,134632
P27797,K7EJB9;K7EL50;P27797,CALR_HUMAN,CALR,5,Calreticulin,230176,220978,240767,175727,153879,156542,228717,248137,222261,208927,126860,229585
P53985;P53985-2,P53985-2;Q5T8R3;Q5T8R5;P53985,MOT1-2_HUMAN;MOT1_HUMAN,SLC16A1,1,Monocarboxylate transporter 1,591217,485087,531748,365069,,,291778,,,,,175919
P35754,P35754,GLRX1_HUMAN,GLRX,1,Glutaredoxin-1,213402,163930,97415,624695,,,332958,,,,647620,356821
Q9Y2P8,Q9Y2P8,RCL1_HUMAN,RCL1,6,RNA 3'-terminal phosphate cyclase-like protein,249558,200951,243507,105141,207966,,291251,320910,426085,147323,88598.3,145466
Q96IZ7;Q96IZ7-2,H7C5Q0;Q96IZ7-2;Q96IZ7,RSRC1-2_HUMAN;RSRC1_HUMAN,RSRC1,1,Serine/Arginine-related protein 53,145616,182878,152994,179226,,,292714,335852,279915,308671,293705,252550
Q9UKF6,G5E9W3;Q9UKF6,CPSF3_HUMAN,CPSF3,4,Cleavage and polyadenylation specificity factor subunit 3,180742,164827,229808,186110,310251,205963,134210,210363,,221502,334485,235281
Q6DD87,Q6DD87,ZN787_HUMAN,ZNF787,3,Zinc finger protein 787,281592,341538,272617,,,,310043,346896,252052,206649,185349,215766
Q9BVT8,C9JCW7;C9JE12;Q9BVT8,TMUB1_HUMAN,TMUB1,2,Transmembrane and ubiquitin-like domain-containing protein 1,355602,273911,313070,211050,125271,92128.9,239819,231901,211693,,202501,149842
Q14195;Q14195-2,Q14195-2;Q14195,DPYL3-2_HUMAN;DPYL3_HUMAN,DPYSL3,4,Dihydropyrimidinase-related protein 3,565402,272992,370240,,,,316210,270144,293311,,,313071
P30533,P30533,AMRP_HUMAN,LRPAP1,6,Alpha-2-macroglobulin receptor-associated protein,338959,292370,322695,234846,166014,,209365,291906,276429,123978,,139863
O60884,A0A087WT48;O60884,DNJA2_HUMAN,DNAJA2,4,DnaJ homolog subfamily A member 2,237476,181337,250132,115079,,163136,314224,263770,261530,197453,268791,137503
P61916;P61916-2,E7EMS2;G3V2V8;G3V3D1;G3V3E8;H0YIZ1;J3KMY5;P61916-2;P61916,NPC2-2_HUMAN;NPC2_HUMAN,NPC2,3,NPC intracellular cholesterol transporter 2,426498,129667,126112,293403,147587,,92777.8,201161,215221,161933,236853,355537
Q9NVP1,Q9NVP1,DDX18_HUMAN,DDX18,10,ATP-dependent RNA helicase DDX18,320682,287304,324411,208474,154303,,291005,291331,194265,103112,104843,105857
O95573,O95573,ACSL3_HUMAN,ACSL3,8,Long-chain-fatty-acid--CoA ligase 3,283975,281271,314613,234524,111657,,329894,223044,,212830,163224,228252
Q9Y2R5,I3L0E3;Q9Y2R5,RT17_HUMAN,MRPS17,3,"28S ribosomal protein S17, mitochondrial",225663,174004,225756,97831.8,227577,358731,163236,240079,,252759,304533,106164
Q7Z2W4,Q7Z2W4-2;Q7Z2W4,ZCCHV_HUMAN,ZC3HAV1,7,Zinc finger CCCH-type antiviral protein 1,199633,200621,206164,178783,221765,209132,262306,251223,199764,91012.7,144398,204935
Q93009;Q93009-3,F5H2X1;H3BND8;Q93009-3;Q93009,UBP7-3_HUMAN;UBP7_HUMAN,USP7,8,Ubiquitin carboxyl-terminal hydrolase 7,211839,165934,183157,284928,245966,126497,164872,177206,185380,142885,327746,147035
Q8N567,Q8N567,ZCHC9_HUMAN,ZCCHC9,3,Zinc finger CCHC domain-containing protein 9,254121,262565,308365,177412,,183429,249207,233026,303458,105193,142149,136983
P12035,P12035,K2C3_HUMAN,KRT3,7,"Keratin, type II cytoskeletal 3",,108179,,2237520,,,,,,,,
Q9H3G5,H7C0X5;H7C218;Q9H3G5,CPVL_HUMAN,CPVL,4,Probable serine carboxypeptidase CPVL,235023,261530,233564,114514,150216,,196245,252073,289607,157060,202041,252917
P11388;P11388-2;P11388-3;P11388-4,E9PCY5;P11388-2;P11388-3;P11388-4;Q02880-2;P11388;Q02880,TOP2A-2_HUMAN;TOP2A-3_HUMAN;TOP2A-4_HUMAN;TOP2A_HUMAN,TOP2A,12,DNA topoisomerase 2-alpha,301074,295688,324616,242847,131929,,273134,235867,211955,,154793,155691
O00264,O00264-2;O00264,PGRC1_HUMAN,PGRMC1,4,Membrane-associated progesterone receptor component 1,336667,336705,349904,,204502,,270491,307794,299740,,,213538
P09211,A0A2R8Y5E5;A8MX94;P09211,GSTP1_HUMAN,GSTP1,3,Glutathione S-transferase P,138405,188642,184817,404575,391403,,177320,162817,112710,,262239,289841
Q7L5L3;Q7L5L3-1,Q7L5L3-1;Q7L5L3,GDPD3-1_HUMAN;GDPD3_HUMAN,GDPD3,4,Lysophospholipase D GDPD3,172879,80479.2,128000,605345,254787,,68106.7,132738,,,523956,339849
P50452,P50452-3;P50452,SPB8_HUMAN,SERPINB8,3,Serpin B8,73559.9,96150.1,83277.5,646288,203353,,103770,108120,,193137,618035,160632
P68371,P68371,TBB4B_HUMAN,TUBB4B,4,Tubulin beta-4B chain,336217,354255,379316,194608,58325.1,,259617,222773,114832,53452.4,129572,182549
Q12904;Q12904-2,Q12904-2;Q12904,AIMP1-2_HUMAN;AIMP1_HUMAN,AIMP1,5,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,219191,219975,232961,193826,,,222585,229884,82306.8,289739,273160,321468
Q13610,B4DJV5;Q13610,PWP1_HUMAN,PWP1,3,Periodic tryptophan protein 1 homolog,259030,252612,264951,175109,156845,,260491,290429,237460,,226962,153720
Q99848,H7C2Q8;Q99848,EBP2_HUMAN,EBNA1BP2,5,Probable rRNA-processing protein EBP2,253711,295384,262264,185318,184568,168254,291659,342760,185589,,,104166
Q9P2M7,A2A3M4;A6PVU7;Q9P2M7-2;Q9P2M7,CING_HUMAN,CGN,15,Cingulin,286937,276106,307680,132261,129686,172008,177183,172307,123272,130144,172201,192811
P12955;P12955-2;P12955-3,A0A494C165;A0A494C194;K7ES25;P12955-2;P12955-3;P12955,PEPD-2_HUMAN;PEPD-3_HUMAN;PEPD_HUMAN,PEPD,4,Xaa-Pro dipeptidase,452896,,,771571,,,,,,,540183,503298
Q9P035,H3BMZ1;H3BPZ1;H3BRL8;H3BS72;Q9P035-2;Q9P035,HACD3_HUMAN,HACD3,1,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3,288659,342116,316074,226502,,,275769,279326,79097.9,,176770,278297
Q9NQT4,Q9NQT4,EXOS5_HUMAN,EXOSC5,1,Exosome complex component RRP46,194411,216432,165867,210659,174343,,328889,299067,407229,,,259773
O15504,B4DT96;C9JYA1;O15504-2;O15504,NUPL2_HUMAN,NUPL2,6,Nucleoporin-like protein 2,240301,241365,260802,157393,117537,,222064,171320,157413,266891,215147,205388
P53999,P53999,TCP4_HUMAN,SUB1,1,Activated RNA polymerase II transcriptional coactivator p15,233433,281809,238818,301904,250048,,249448,202740,134438,,132253,228730
O60568,H7C2V1;O60568,PLOD3_HUMAN,PLOD3,14,Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3,297598,300135,312528,204678,189143,,182725,174064,129724,117044,179947,162834
Q6PK04,I3L0U5;I3L4F6;Q6PK04,CC137_HUMAN,CCDC137,7,Coiled-coil domain-containing protein 137,227139,282932,232169,529453,224902,,242542,224409,,,180401,102737
P61009,P61009,SPCS3_HUMAN,SPCS3,3,Signal peptidase complex subunit 3,216398,220680,223326,231121,157328,,178180,187796,135478,200350,250351,244459
O75935;O75935-3,A0A0A0MRV8;O75935-2;O75935-3;X6RA56;X6RCK5;X6RLR1;O75935,DCTN3-3_HUMAN;DCTN3_HUMAN,DCTN3,6,Dynactin subunit 3,339213,297472,365118,,,,270882,184915,228440,184941,157426,216916
Q9Y485,E7EMZ0;F5H269;Q9Y485,DMXL1_HUMAN,DMXL1,12,DmX-like protein 1,168449,178125,187383,144713,106714,,211427,198035,229049,270083,257105,286968
P55000,P55000,SLUR1_HUMAN,SLURP1,1,Secreted Ly-6/uPAR-related protein 1,105941,39100,37784.7,681148,300731,,79953.1,139583,44235.2,278353,410382,110078
P60331;P60369;P60370;P60409;P60412,A0A087WT19;P60331;P60369;P60370;P60409;P60412,KR101_HUMAN;KR103_HUMAN;KR105_HUMAN;KR107_HUMAN;KR10B_HUMAN,KRTAP10-1;KRTAP10-11;KRTAP10-3;KRTAP10-5;KRTAP10-7,1,Keratin-associated protein 10-1,62925.8,,50098.4,657175,122397,,,334607,338484,324020,148440,188837
P62140,C9J9S3;C9JP48;P62140,PP1B_HUMAN,PPP1CB,1,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,223960,241318,243376,227887,150097,,245424,181894,42771.7,162918,261778,243952
P56182,P56182,RRP1_HUMAN,RRP1,4,Ribosomal RNA processing protein 1 homolog A,265579,305710,251781,129606,148657,150633,333134,321967,317133,,,
P06870;P06870-2,P06870-2;P06870,KLK1-2_HUMAN;KLK1_HUMAN,KLK1,1,Kallikrein-1,,,,,964321,,,,1258240,,,
Q75N03;Q75N03-2,C9J2P9;Q75N03-2;Q75N03,HAKAI-2_HUMAN;HAKAI_HUMAN,CBLL1,3,E3 ubiquitin-protein ligase Hakai,200454,163515,195805,265033,192260,93539,205991,128456,145696,177530,238607,206358
Q99942,A0A140TA09;Q99942,RNF5_HUMAN,RNF5,2,E3 ubiquitin-protein ligase RNF5,229991,298967,214505,,147462,,320899,325358,261694,194263,216646,
P51148;P51148-2,K7ENY4;K7ERQ8;P51148-2;K7ERI8;P51148,RAB5C-2_HUMAN;RAB5C_HUMAN,RAB5C,3,Ras-related protein Rab-5C,256125,200343,245824,142342,137227,185049,174673,124688,144179,139046,205350,254591
P12081;P12081-2;P12081-3;P12081-4,A0A2R8Y3N3;A0A2R8Y4X6;A0A2R8Y5E8;A0A2R8Y5P7;A0A2R8Y6I1;B3KWE1;D6RJE6;P12081-2;P12081-3;P12081-4;P49590-2;P12081;P49590,SYHC-2_HUMAN;SYHC-3_HUMAN;SYHC-4_HUMAN;SYHC_HUMAN,HARS,5,"Histidine--tRNA ligase, cytoplasmic",219407,108882,174639,524452,161237,,110215,130984,,193390,435473,146317
Q99590;Q99590-2,A0A0A0MTP7;F8VXG7;Q99590-2;Q99590,SCAFB-2_HUMAN;SCAFB_HUMAN,SCAF11,11,Protein SCAF11,257838,234364,260858,183054,209273,158547,162048,145599,124460,149088,155589,158060
Q9UBU8;Q9UBU8-2,B3KTM8;H0YLJ3;H0YMJ0;H0YNE0;Q9UBU8-2;Q9UBU8,MO4L1-2_HUMAN;MO4L1_HUMAN,MORF4L1,2,Mortality factor 4-like protein 1,502424,376340,241085,,108090,320875,,287740,356720,,,
Q9BRP8;Q9BRP8-2,Q9BRP8-2;Q9BRP8,PYM1-2_HUMAN;PYM1_HUMAN,PYM1,5,Partner of Y14 and mago,88001.6,132292,72297.8,,,,352926,469163,499027,180934,193936,192788
O60832,C9IYT0;H7C2Q2;O60832-2;O60832,DKC1_HUMAN,DKC1,9,H/ACA ribonucleoprotein complex subunit DKC1,275610,296637,291133,227121,166994,,232654,237269,205803,,120998,120247
P42167;P42167-2,G5E972;H0YJH7;P42167;P42167-2,LAP2B-2_HUMAN;LAP2B_HUMAN,TMPO,6,"Isoform of P42166, Lamina-associated polypeptide 2, isoforms beta/gamma",225837,265547,250099,274997,77813.3,,266343,290998,213477,,221687,80222.7
P11233,H7C3P7;P11233,RALA_HUMAN,RALA,2,Ras-related protein Ral-A,179994,139348,135169,308853,270940,168659,113118,133274,47525.2,127677,332385,200263
O14949,O14949,QCR8_HUMAN,UQCRQ,2,Cytochrome b-c1 complex subunit 8,292178,228663,277832,240627,92372.9,,235829,175340,105792,,271324,229965
O75369;O75369-2;O75369-8;O75369-9,E7EN95;O75369-2;O75369-3;O75369-4;O75369-5;O75369-6;O75369-7;O75369-8;O75369-9;O75369,FLNB-2_HUMAN;FLNB-8_HUMAN;FLNB-9_HUMAN;FLNB_HUMAN,FLNB,22,Filamin-B,247405,232352,246763,271085,127914,,192295,197282,133510,,332540,167119
Q9NWT1,Q9NWT1,PK1IP_HUMAN,PAK1IP1,7,p21-activated protein kinase-interacting protein 1,297582,301302,312987,139586,,237478,306770,201338,160479,,98791.4,91703.6
Q05086;Q05086-2;Q05086-3,A0A0D9SG77;A0A1B0GVL3;Q05086-2;Q05086-3;Q05086,UBE3A-2_HUMAN;UBE3A-3_HUMAN;UBE3A_HUMAN,UBE3A,9,Ubiquitin-protein ligase E3A,168775,163885,175557,204304,114924,159855,251461,177694,242106,91461.1,205148,185638
Q9H8H0,J3QR28;Q9H8H0,NOL11_HUMAN,NOL11,9,Nucleolar protein 11,378738,362127,358923,205312,,,351785,,,305258,178544,
P50991;P50991-2,P50991-2;P50991,TCPD-2_HUMAN;TCPD_HUMAN,CCT4,6,T-complex protein 1 subunit delta,265824,264689,278739,156088,,,267566,220880,180914,147084,170555,185578
O43237;O43237-2,J3KRI4;O43237-2;O43237,DC1L2-2_HUMAN;DC1L2_HUMAN,DYNC1LI2,6,Cytoplasmic dynein 1 light intermediate chain 2,220971,188599,250687,,,,248338,171608,225255,273600,290971,266060
Q969L2,Q969L2,MAL2_HUMAN,MAL2,1,Protein MAL2,250376,92058,76718.2,656278,123443,,110537,,,,547978,273393
Q13148,A0A087WV68;A0A087WW61;A0A087WX67;A0A087WXQ5;A0A087WXV3;A0A087WYY0;A0A087WZC9;A0A087X260;A0A0A0N0M3;B1AKP7;G3V162;K7EJM5;K7EN94;Q13148-4;Q13148,TADBP_HUMAN,TARDBP,4,TAR DNA-binding protein 43,188718,144632,176047,172031,210556,197677,144982,120914,129971,222060,189970,225750
Q9BRP4;Q9BRP4-2,F5H0C4;F5H103;F5H3I1;F5H5D4;Q9BRP4-2;Q9BRP4,PAAF1-2_HUMAN;PAAF1_HUMAN,PAAF1,5,Proteasomal ATPase-associated factor 1,223320,217992,236489,105645,60566.9,,230240,128316,241811,198768,278327,195121
Q92572,Q92572,AP3S1_HUMAN,AP3S1,5,AP-3 complex subunit sigma-1,213462,134486,198301,,,,218449,233675,315148,268370,256751,252240
