Protein Group,Protein Ids,Protein Names,Genes,First Protein Description,Peptides,Prime1_1,Prime1_2,Prime1_3,Prime2_1,Prime2_2,Prime2_3,Naive1_1,Naive1_2,Naive1_3,Naive2_1,Naive2_2,Naive2_3
Q86VN1;Q86VN1-2,A0A3B3ISW7;Q86VN1-2;Q86VN1,VPS36-2_HUMAN;VPS36_HUMAN,VPS36,Vacuolar protein-sorting-associated protein 36,5,805372,559710,677706,648871,717420,731520,512837,584576,647688,610115,386072,330210
Q86VP1;Q86VP1-2,B8ZZD4;Q86VP1-2;Q86VP1-3;Q86VP1-4;Q86VP1,TAXB1-2_HUMAN;TAXB1_HUMAN,TAX1BP1,Tax1-binding protein 1,3,511414,415233,466072,,409751,446835,693871,522775,506536,380975,306602,367039
Q86VP6,A0A0C4DGH5;Q86VP6-2;Q86VP6,CAND1_HUMAN,CAND1,Cullin-associated NEDD8-dissociated protein 1,39,4690910,4481380,4182660,4372080,4420520,4601350,3271350,3397900,3443870,2724750,3012930,2914090
Q86VR2,K7EJ42;K7EPD0;K7EQI9;Q86VR2,RETR3_HUMAN,RETREG3,Reticulophagy regulator 3,4,2456930,2507380,2334690,1767000,2071250,1913870,1576970,1909180,2017410,2014660,2074430,1983710
Q86VS8,Q86VS8,HOOK3_HUMAN,HOOK3,Protein Hook homolog 3,4,,658364,350757,522426,808674,479621,323069,815830,549388,627700,455844,492447
Q86VU5,R4GNF4;Q86VU5,CMTD1_HUMAN,COMTD1,Catechol O-methyltransferase domain-containing protein 1,3,853115,928230,886043,909203,797776,834142,1115930,1082180,1145590,1181700,1198680,1201770
Q86VX2;Q86VX2-2,A0A2R8Y600;A0A2R8Y620;A0A2R8Y7U2;Q86VX2-2;A0A2R8Y455;Q86VX2,COMD7-2_HUMAN;COMD7_HUMAN,COMMD7,COMM domain-containing protein 7,1,271417,,,257972,,,190273,,,,,
Q86W34,J3KRD0;J3KRS2;J3KS38;J3KSH1;J3KTM1;J3QLK6;Q86W34,AMZ2_HUMAN,AMZ2,Archaemetzincin-2,1,228353,215901,228641,,,315625,,,186971,162923,,
Q86W42,Q86W42-2;Q86W42,THOC6_HUMAN,THOC6,THO complex subunit 6 homolog,19,5910460,5965050,5864430,8860230,8832930,8995980,10807100,12609400,12538400,11692200,10386400,11281600
Q86W50,Q86W50,MET16_HUMAN,METTL16,RNA N6-adenosine-methyltransferase METTL16,8,1300340,1176480,1142120,943583,1018800,788020,767338,980239,995351,893047,934087,966966
Q86W56;Q86W56-2;Q86W56-3;Q86W56-4;Q86W56-5,Q86W56-2;Q86W56-3;Q86W56-4;Q86W56-5;Q86W56,PARG-2_HUMAN;PARG-3_HUMAN;PARG-4_HUMAN;PARG-5_HUMAN;PARG_HUMAN,PARG,Poly(ADP-ribose) glycohydrolase,3,219153,225865,220706,180972,271476,237931,122792,269310,370918,229691,,360802
Q86W74;Q86W74-2,E5RFM7;E5RHV2;E5RI04;E5RI20;J3KP26;Q86W74-2;Q86W74,ANR46-2_HUMAN;ANR46_HUMAN,ANKRD46,Ankyrin repeat domain-containing protein 46,1,154866,205877,,115083,134159,265516,187861,208679,279578,172784,1441030,175016
Q86W92;Q86W92-2;Q86W92-4,E9PP16;F5GZP6;Q86W92-2;Q86W92-3;Q86W92-4;Q8ND30-2;Q8ND30-3;Q86W92;Q8ND30,LIPB1-2_HUMAN;LIPB1-4_HUMAN;LIPB1_HUMAN,PPFIBP1,Liprin-beta-1,6,365980,538102,669194,510701,574136,471975,420307,587785,525926,511716,595051,500310
Q86WA6;Q86WA6-2,B4DML3;Q49AI2;Q86WA6-2;Q86WA6,BPHL-2_HUMAN;BPHL_HUMAN,BPHL,Valacyclovir hydrolase,7,699864,767810,875987,799751,777904,806132,846577,1014200,906482,803967,775072,738749
Q86WA8,E7EN44;H3BQ67;Q86WA8-2;Q86WA8,LONP2_HUMAN,LONP2,"Lon protease homolog 2, peroxisomal",7,564949,623326,580702,497897,489669,559186,447333,509902,506861,435320,471490,391550
Q86WB0,C9J0I9;Q86WB0-2;Q86WB0-3;Q86WB0,NIPA_HUMAN,ZC3HC1,Nuclear-interacting partner of ALK,17,1860500,1901050,1852790,2361370,2459440,2358280,1725980,1769520,1700640,2069290,2189510,2168230
Q86WC4,A0A0A0MSP4;Q86WC4,OSTM1_HUMAN,OSTM1,Osteopetrosis-associated transmembrane protein 1,2,837941,728462,641207,522657,454485,505247,454491,603167,620352,605555,658633,592489
Q86WJ1;Q86WJ1-2,A0A087WTM4;A0A087WWW4;A0A494C0B8;A0A494C0J6;A0A494C0M4;A0A494C0Q0;A0A494C111;A0A494C1F7;A0A494C1H0;A0A494C1I3;A0A494C1P7;A0A494C1S1;Q86WJ1-2;Q86WJ1,CHD1L-2_HUMAN;CHD1L_HUMAN,CHD1L,Chromodomain-helicase-DNA-binding protein 1-like,1,,557887,338019,,434082,436519,427375,371480,522916,555272,,434757
Q86WR0,Q86WR0-2;Q86WR0,CCD25_HUMAN,CCDC25,Coiled-coil domain-containing protein 25,3,271496,280541,256961,256072,319005,273262,208621,203094,185385,151816,173993,113982
Q86WU2;Q86WU2-2,Q86WU2-2;Q86WU2,LDHD-2_HUMAN;LDHD_HUMAN,LDHD,"Probable D-lactate dehydrogenase, mitochondrial",9,321831,326779,425749,313943,451201,425773,2602670,2813040,2870780,2714440,2556640,2713550
Q86WW8,B9A057;Q86WW8,COA5_HUMAN,COA5,Cytochrome c oxidase assembly factor 5,3,9188600,9092730,8894010,8236690,8173840,6666410,,6814810,6189120,5854050,5523440,7539620
Q86WX3,Q86WX3,AROS_HUMAN,RPS19BP1,Active regulator of SIRT1,6,1845530,1718810,1624190,1772460,1828820,1838700,1267930,1697710,1489360,1653970,1556570,1813100
Q86X10;Q86X10-2;Q86X10-3,A2A2F0;Q86X10-2;Q86X10-3;Q86X10-4;Q86X10,RLGPB-2_HUMAN;RLGPB-3_HUMAN;RLGPB_HUMAN,RALGAPB,Ral GTPase-activating protein subunit beta,3,227809,572798,433986,437919,431449,402476,444652,390709,469622,457239,456284,430226
Q86X27;Q86X27-3,Q86X27-3;Q86X27,RGPS2-3_HUMAN;RGPS2_HUMAN,RALGPS2,Ras-specific guanine nucleotide-releasing factor RalGPS2,2,259403,291363,268843,288640,259211,278218,108817,201642,243975,306824,,
Q86X29;Q86X29-4;Q86X29-5;Q86X29-6,Q86X29-2;Q86X29-3;Q86X29-4;Q86X29-5;Q86X29-6;S4R3V8;Q86X29,LSR-4_HUMAN;LSR-5_HUMAN;LSR-6_HUMAN;LSR_HUMAN,LSR,Lipolysis-stimulated lipoprotein receptor,15,6030960,5773830,5800820,4275510,4245130,4118970,3587690,4540190,4519060,3981820,3679520,3763590
Q86X52,Q86X52,CHSS1_HUMAN,CHSY1,Chondroitin sulfate synthase 1,3,262815,190734,185369,208622,162130,213684,128214,195541,146050,175866,130085,141639
Q86X55;Q86X55-1,K7EQA8;Q86X55-1;Q86X55-2;Q86X55,CARM1-1_HUMAN;CARM1_HUMAN,CARM1,Histone-arginine methyltransferase CARM1,16,4264650,4104920,4322650,5160840,5255780,5363550,4145110,4316860,4353180,3790640,3935310,3943970
Q86X76;Q86X76-2;Q86X76-4,Q86X76-2;Q86X76-3;Q86X76-4;Q86X76-5;Q86X76,NIT1-2_HUMAN;NIT1-4_HUMAN;NIT1_HUMAN,NIT1,Deaminated glutathione amidase,11,1530150,1620130,1699130,1671680,1622810,1508900,1696820,1515110,1480510,1296200,1312570,1176380
Q86X95,Q86X95,CIR1_HUMAN,CIR1,Corepressor interacting with RBPJ 1,4,589704,362807,332802,952764,1217950,1128830,735627,849539,882426,1234870,1283970,1224710
Q86XI2,H0Y6U5;Q86XI2-2;Q86XI2,CNDG2_HUMAN,NCAPG2,Condensin-2 complex subunit G2,5,280138,276190,277172,280868,,272581,,207652,189400,221726,138867,271695
Q86XK2;Q86XK2-5;Q86XK2-6,C9IYF0;Q86XK2-3;Q86XK2-4;Q86XK2-5;Q86XK2-6;Q86XK2,FBX11-5_HUMAN;FBX11-6_HUMAN;FBX11_HUMAN,FBXO11,F-box only protein 11,3,313288,268942,308907,302872,366063,247553,130252,414631,176114,365800,429916,406256
Q86XL3,Q86XL3-3;Q86XL3,ANKL2_HUMAN,ANKLE2,Ankyrin repeat and LEM domain-containing protein 2,21,1884530,1927100,1973940,1643920,1749010,1702610,2039120,2247100,2175040,1773840,1756230,1752750
Q86XP3,A0A0A0MSJ0;Q86XP3-2;Q86XP3,DDX42_HUMAN,DDX42,ATP-dependent RNA helicase DDX42,33,3889690,3814730,3962880,3973140,4035520,3879580,3391900,3876820,3842700,3774430,3630680,3719390
Q86XS8;Q86XS8-2,E5RI87;Q86XS8-2;Q86XS8,GOLI-2_HUMAN;GOLI_HUMAN,RNF130,E3 ubiquitin-protein ligase RNF130,2,323884,386735,336011,286312,317865,296528,220220,357786,297401,248778,190849,207388
Q86XX4;Q86XX4-2,H0Y8V2;Q86XX4-2;Q86XX4-5;Q86XX4,FRAS1-2_HUMAN;FRAS1_HUMAN,FRAS1,Extracellular matrix protein FRAS1,19,8378620,8698090,9901480,9147760,8360850,9598640,10645000,10181900,11218800,8779240,9394620,9727020
Q86XZ4,Q86XZ4,SPAS2_HUMAN,SPATS2,Spermatogenesis-associated serine-rich protein 2,2,433445,386660,257881,312076,244809,316784,,,74179.7,,,
Q86Y07,Q86Y07-2;Q86Y07-3;Q86Y07-4;Q86Y07-5;Q86Y07,VRK2_HUMAN,VRK2,Serine/threonine-protein kinase VRK2,4,546848,834673,632601,568555,596384,566547,449631,514156,538731,541009,520433,560261
Q86Y39,K7EMT4;K7EP35;K7EQ77;Q86Y39-2;K7EK78;Q86Y39,NDUAB_HUMAN,NDUFA11,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,7,3946150,4503960,4207860,3917580,3614500,3941340,4131900,4955550,4853170,4119920,4421040,4423080
Q86Y56,H0Y650;Q86Y56-2;Q86Y56,DAAF5_HUMAN,DNAAF5,"Dynein assembly factor 5, axonemal",13,808470,786977,772579,553355,588478,628827,573777,571741,688113,365785,654817,462614
Q86Y82,Q86Y82,STX12_HUMAN,STX12,Syntaxin-12,6,1100500,1254260,1300670,1177090,1348060,1254650,1512300,1454780,1553520,1216470,1101050,1425770
Q86Y91;Q86Y91-6,A0A494BYR6;Q86Y91-6;Q86Y91,KI18B-6_HUMAN;KI18B_HUMAN,KIF18B,Kinesin-like protein KIF18B,7,693385,699459,614229,710255,672264,623298,627862,817523,868320,862996,804877,693403
Q86YH6,Q5JRD6;Q86YH6,DLP1_HUMAN,PDSS2,Decaprenyl-diphosphate synthase subunit 2,4,364728,574940,590830,602661,646745,505384,856014,616382,577257,471319,889480,478706
Q86YL5;Q86YL5-2,Q86YL5-2;Q86YL5,TDRP-2_HUMAN;TDRP_HUMAN,TDRP,Testis development-related protein,3,1180070,1412500,1352750,874315,794721,777529,564590,682216,650841,550543,539931,610254
Q86YL7;Q86YL7-3;Q86YL7-4;Q86YL7-5;Q86YL7-6,E7ETC6;H0YA72;Q86YL7-3;Q86YL7-4;Q86YL7-5;Q86YL7-6;Q86YL7,PDPN-3_HUMAN;PDPN-4_HUMAN;PDPN-5_HUMAN;PDPN-6_HUMAN;PDPN_HUMAN,PDPN,Podoplanin,2,1434880,1459900,1039360,898450,1136180,1765160,779644,1591110,1916340,1802990,1774610,2106990
Q86YM7,Q86YM7-3;Q86YM7,HOME1_HUMAN,HOMER1,Homer protein homolog 1,12,1173320,1262030,1247710,1087440,1160140,1139390,1187650,1060980,1014570,906042,970802,881475
Q86YN1,Q86YN1-2;Q86YN1,DOPP1_HUMAN,DOLPP1,Dolichyldiphosphatase 1,2,471045,474204,510291,481116,413769,333029,248838,606115,407986,418654,467370,660548
Q86YP4;Q86YP4-3,C9JGN4;C9JHD7;C9JJK9;C9JMI3;C9JVY3;H7C3H1;Q86YP4-2;Q86YP4-3;V9GY85;V9GYX5;Q86YP4,P66A-3_HUMAN;P66A_HUMAN,GATAD2A,Transcriptional repressor p66-alpha,29,4104990,3980280,3878300,5201520,5123920,5150840,3687920,4409630,4180810,4802100,4515450,4751970
Q86YQ8,A0A087WX62;A0A0J9YWA1;A0A0J9YWU8;E7ENV7;Q8IYJ1-2;Q86YQ8;Q8IYJ1;Q9HCH3,CPNE8_HUMAN,CPNE8,Copine-8,4,,,106563,222583,355056,368911,95300.2,392510,375060,,515065,465555
Q86YS6,Q86YS6,RAB43_HUMAN,RAB43,Ras-related protein Rab-43,9,761168,792143,808843,660536,677351,689462,1124450,831123,830276,826727,810886,759266
Q86YS7;Q86YS7-2;Q86YS7-3;Q86YS7-4,Q86YS7-2;Q86YS7-3;Q86YS7-4;Q86YS7-5;Q86YS7,C2CD5-2_HUMAN;C2CD5-3_HUMAN;C2CD5-4_HUMAN;C2CD5_HUMAN,C2CD5,C2 domain-containing protein 5,10,797145,827651,976065,878642,990727,887278,811552,1076530,1015270,891060,880457,895781
Q86YT9;Q86YT9-2;Q86YT9-3;Q86YT9-4,A0A1W2PRS4;E9PKK2;E9PR26;Q86YT9-2;Q86YT9-3;Q86YT9-4;Q86YT9,JAML-2_HUMAN;JAML-3_HUMAN;JAML-4_HUMAN;JAML_HUMAN,JAML,Junctional adhesion molecule-like,1,,,411207,,,,,,,,,
Q86YV5,Q86YV5,PRAG1_HUMAN,PRAG1,Inactive tyrosine-protein kinase PRAG1,1,388701,620983,485455,430457,449081,531912,772888,522195,556057,524475,518861,444040
Q86YV9,Q86YV9,HPS6_HUMAN,HPS6,Hermansky-Pudlak syndrome 6 protein,2,168576,131854,177855,92774.4,133375,132682,167599,73566,136172,,,
Q86YZ3,Q86YZ3,HORN_HUMAN,HRNR,Hornerin,27,3501540,1084970,400401,2664220,619556,454080,517766,1945780,881821,1304210,43025200,4346130
Q8IU60;Q8IU60-2,H0Y9T5;Q8IU60-2;Q8IU60,DCP2-2_HUMAN;DCP2_HUMAN,DCP2,m7GpppN-mRNA hydrolase,1,,,134985,186346,275613,208582,,321307,252313,335618,280829,239156
Q8IU81,Q8IU81,I2BP1_HUMAN,IRF2BP1,Interferon regulatory factor 2-binding protein 1,4,908345,805998,1058140,872995,1020220,1000780,869624,833340,731101,884314,889189,891203
Q8IUD2;Q8IUD2-2;Q8IUD2-3,A0A0U1RQD6;A0A0U1RRM0;G8JLD3;K7EIZ7;K7EKH8;Q8IUD2-2;Q8IUD2-3;Q8IUD2-4;Q8IUD2-5;X6RLX0;X6RM00;Q8IUD2,RB6I2-2_HUMAN;RB6I2-3_HUMAN;RB6I2_HUMAN,ERC1,ELKS/Rab6-interacting/CAST family member 1,9,509160,450999,497913,448140,438893,414744,343975,506737,503221,383769,337563,301197
Q8IUH3;Q8IUH3-3,Q8IUH3-2;Q8IUH3-3;Q8IUH3,RBM45-3_HUMAN;RBM45_HUMAN,RBM45,RNA-binding protein 45,5,632250,725136,853034,790545,993202,927193,736355,837075,792497,911482,842048,769320
Q8IUH4,Q8IUH4-2;Q8IUH4-3;Q8IUH4,ZDH13_HUMAN,ZDHHC13,Palmitoyltransferase ZDHHC13,5,985785,1044150,1005510,726421,849211,789303,742167,723523,808647,722245,692184,672811
Q8IUH5,F8VX48;Q8IUH5,ZDH17_HUMAN,ZDHHC17,Palmitoyltransferase ZDHHC17,2,960497,1062340,1294310,949268,913868,642601,986002,1272520,1275580,1121160,979921,765893
Q8IUI8;Q8IUI8-2,Q8IUI8-2;Q8IUI8,CRLF3-2_HUMAN;CRLF3_HUMAN,CRLF3,Cytokine receptor-like factor 3,3,320963,297090,284809,281835,264599,278338,219506,247671,263529,210904,532617,280405
Q8IUR0,Q8IUR0,TPPC5_HUMAN,TRAPPC5,Trafficking protein particle complex subunit 5,4,1107830,1233540,1105600,1244730,1457420,1612480,1410320,1189930,1135210,1111570,917206,1018000
Q8IUR5,F8VTQ9;F8VXU8;Q8IUR5,TMTC1_HUMAN,TMTC1,Protein O-mannosyl-transferase TMTC1,1,623284,768375,708821,,1180350,1362160,,572515,909668,,,
Q8IUR7;Q8IUR7-7,C9JAA7;C9JBY2;G5E9V6;Q8IUR7-2;Q8IUR7-6;Q8IUR7-7;Q8IUR7-8;Q8IUR7,ARMC8-7_HUMAN;ARMC8_HUMAN,ARMC8,Armadillo repeat-containing protein 8,9,603385,632382,594625,629567,633923,633405,646246,702646,654189,698067,657552,685336
Q8IUX1;Q8IUX1-4,E9PJQ6;E9PKZ7;E9PKZ9;H0YD74;H0YEG5;Q8IUX1-4;Q8IUX1,T126B-4_HUMAN;T126B_HUMAN,TMEM126B,"Complex I assembly factor TMEM126B, mitochondrial",1,607027,534985,579504,482617,504031,487479,461620,510241,490251,461493,456685,491346
Q8IV08,M0R3G9;Q8IV08,PLD3_HUMAN,PLD3,Phospholipase D3,12,4282710,4465580,4026670,5718900,5505890,5703290,6242720,6757600,6958880,6421160,6703030,6547160
Q8IV32,Q8IV32,CCD71_HUMAN,CCDC71,Coiled-coil domain-containing protein 71,2,500808,384230,377827,372521,447797,456042,451656,358926,404994,274767,258407,266264
Q8IV35;Q8IV35-2,A0A3B3IS43;C9IZ29;H0Y8A5;Q8IV35-2;Q8IV35,WDR49-2_HUMAN;WDR49_HUMAN,WDR49,WD repeat-containing protein 49,1,,,,,,356050,,407374,472014,512221,,483851
Q8IV48,Q8IV48,ERI1_HUMAN,ERI1,3'-5' exoribonuclease 1,3,2119340,2227820,2394710,2063260,2434620,2018380,1945740,1836570,1997800,1639530,1652030,1920100
Q8IV61;Q8IV61-2,Q8IV61-2;Q8IV61,GRP3-2_HUMAN;GRP3_HUMAN,RASGRP3,Ras guanyl-releasing protein 3,2,281667,492492,354580,487432,,479214,376100,438756,403951,487712,524663,544255
Q8IV63;Q8IV63-2;Q8IV63-3,M0QYA8;M0R073;Q8IV63-2;Q8IV63-3;Q8IV63,VRK3-2_HUMAN;VRK3-3_HUMAN;VRK3_HUMAN,VRK3,Inactive serine/threonine-protein kinase VRK3,1,,,122971,120325,150389,92799.4,,88430.5,,86702.2,108321,115848
Q8IVD9,Q8IVD9,NUDC3_HUMAN,NUDCD3,NudC domain-containing protein 3,4,852284,855319,839059,954640,930832,853024,688899,892065,919262,674063,599139,657399
Q8IVH2;Q8IVH2-2;Q8IVH2-3,B7ZBM3;Q8IVH2-2;Q8IVH2-3;Q8IVH2,FOXP4-2_HUMAN;FOXP4-3_HUMAN;FOXP4_HUMAN,FOXP4,Forkhead box protein P4,1,,,,74100.2,102111,156668,,,,,,
Q8IVH8;Q8IVH8-2;Q8IVH8-3,F5H5A3;Q8IVH8-2;Q8IVH8-3;Q8IVH8,M4K3-2_HUMAN;M4K3-3_HUMAN;M4K3_HUMAN,MAP4K3,Mitogen-activated protein kinase kinase kinase kinase 3,2,1646240,1783630,1718230,924001,1036050,1025470,583271,802721,821822,776549,687226,671594
Q8IVL5,Q8IVL5-2;Q8IVL5,P3H2_HUMAN,P3H2,Prolyl 3-hydroxylase 2,2,341004,389798,306072,385081,348044,259024,,152859,,,,140376
Q8IVL6,Q8IVL6-2;Q8IVL6,P3H3_HUMAN,P3H3,Prolyl 3-hydroxylase 3,11,2503270,2419420,2499500,2480060,2452290,2422730,1175630,1239850,1285490,1036940,1269070,1132400
Q8IVM0;Q8IVM0-2,Q8IVM0-2;Q8IVM0,CCD50-2_HUMAN;CCD50_HUMAN,CCDC50,Coiled-coil domain-containing protein 50,4,466349,695736,540912,600708,503824,517795,473649,447559,516374,551274,414794,576886
Q8IVS2,Q8IVS2,FABD_HUMAN,MCAT,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial",7,1207110,1112040,1133520,1223630,1237020,1248610,1220650,1214650,1460120,1531540,1490780,1475760
Q8IVW6;Q8IVW6-4,H3BQ92;Q8IVW6-3;Q8IVW6-4;Q8IVW6,ARI3B-4_HUMAN;ARI3B_HUMAN,ARID3B,AT-rich interactive domain-containing protein 3B,27,3005050,2908890,3106240,4381240,4533320,4458240,3783810,3824450,3799880,5697870,5381220,5605960
Q8IW75,Q8IW75,SPA12_HUMAN,SERPINA12,Serpin A12,3,,,,127885,,,,,,,722667,
Q8IWA0,F8WC81;F8WE20;Q8IWA0,WDR75_HUMAN,WDR75,WD repeat-containing protein 75,27,2506060,2741460,2808390,2477670,2488610,2394640,2469450,2716530,2599270,2913200,2915440,2790330
Q8IWA4,C9JQT7;H7C5H5;Q8IWA4-2;Q8IWA4-3;Q8IWA4,MFN1_HUMAN,MFN1,Mitofusin-1,15,1107580,1015280,1031360,1098530,994142,1020610,1344870,1273310,1241630,1181610,1290420,1208850
Q8IWA5;Q8IWA5-2;Q8IWA5-3,K7EPV6;K7ESF5;Q8IWA5-2;Q8IWA5-3;Q8IWA5,CTL2-2_HUMAN;CTL2-3_HUMAN;CTL2_HUMAN,SLC44A2,Choline transporter-like protein 2,9,1141720,1302190,1521460,1036560,1100190,958677,1362580,930928,966656,755305,782853,829458
Q8IWB1,X6RK76;Q8IWB1,IPRI_HUMAN,ITPRIP,"Inositol 1,4,5-trisphosphate receptor-interacting protein",2,252468,327614,385085,,363726,318956,,419094,336170,311450,312486,373387
Q8IWB7,C9JJ54;Q8IWB7,WDFY1_HUMAN,WDFY1,WD repeat and FYVE domain-containing protein 1,12,1467740,1455410,1457680,1472870,1406100,1254140,1669770,2003060,2123160,2381970,2421910,2338130
Q8IWC1;Q8IWC1-2;Q8IWC1-3;Q8IWC1-4,A0A0A0MRP0;Q8IWC1-2;Q8IWC1-3;Q8IWC1-4;Q8IWC1,MA7D3-2_HUMAN;MA7D3-3_HUMAN;MA7D3-4_HUMAN;MA7D3_HUMAN,MAP7D3,MAP7 domain-containing protein 3,5,616742,705006,630599,845342,767656,707269,794731,1086330,1003720,1028670,1019030,929277
Q8IWE4,Q8IWE4,DCNL3_HUMAN,DCUN1D3,DCN1-like protein 3,3,486078,508496,542516,507532,432071,475626,406049,513348,490739,446195,621690,408024
Q8IWF2,Q8IWF2,FXRD2_HUMAN,FOXRED2,FAD-dependent oxidoreductase domain-containing protein 2,1,,,,,,,,104597,,192373,,123379
Q8IWI9;Q8IWI9-3,H3BP52;H3BTF4;Q8IWI9-3;Q8IWI9,MGAP-3_HUMAN;MGAP_HUMAN,MGA,MAX gene-associated protein,26,2288140,2201790,2389550,2408840,2491190,2425620,2338710,2851890,2759490,2690700,2834400,2697760
Q8IWJ2,Q8IWJ2,GCC2_HUMAN,GCC2,GRIP and coiled-coil domain-containing protein 2,20,682422,710382,660762,616279,642826,672045,840661,926155,926623,735586,672943,689384
Q8IWL3,B0QYH2;Q8IWL3,HSC20_HUMAN,HSCB,Iron-sulfur cluster co-chaperone protein HscB,5,1496740,1541610,1610110,1586630,1489640,1586780,1377010,1628420,1357730,1302170,1226590,1278820
Q8IWS0;Q8IWS0-3,A0A0D9SGE8;Q5JRC6;Q8IWS0-3;Q8IWS0-5;Q8IWS0,PHF6-3_HUMAN;PHF6_HUMAN,PHF6,PHD finger protein 6,12,2336400,2476800,2364540,2938030,2874520,2686630,2534700,2523470,2469210,3450830,3405860,3485230
Q8IWT3;Q8IWT3-3,E9PEZ1;Q8IWT3-3;Q8IWT3,CUL9-3_HUMAN;CUL9_HUMAN,CUL9,Cullin-9,2,975282,1096740,1342890,1155670,1408180,1548320,1113920,1153980,1407160,1443760,1412690,1645100
Q8IWT6,Q8IWT6,LRC8A_HUMAN,LRRC8A,Volume-regulated anion channel subunit LRRC8A,15,1364530,1328840,1310090,1017250,927335,1003520,856288,1030640,979765,988348,985274,1001930
Q8IWU2,Q8IWU2,LMTK2_HUMAN,LMTK2,Serine/threonine-protein kinase LMTK2,5,304757,409773,381984,338541,371660,425894,580469,529504,549444,407180,469861,466412
Q8IWV8;Q8IWV8-4,Q8IWV8-2;Q8IWV8-4;Q8IWV8,UBR2-4_HUMAN;UBR2_HUMAN,UBR2,E3 ubiquitin-protein ligase UBR2,3,146036,213509,222676,210144,,,,255487,,,,
Q8IWW6;Q8IWW6-2;Q8IWW6-3;Q8IWW6-4,H0Y5D8;Q1RLN5;Q8IWW6-2;Q8IWW6-3;Q8IWW6-4;Q8IWW6,RHG12-2_HUMAN;RHG12-3_HUMAN;RHG12-4_HUMAN;RHG12_HUMAN,ARHGAP12,Rho GTPase-activating protein 12,3,800525,671802,807044,832806,983412,786772,1322890,872713,966017,589158,2551560,517933
Q8IWX8,J3QK89;Q8IWX8,CHERP_HUMAN,CHERP,Calcium homeostasis endoplasmic reticulum protein,21,2916790,2942640,2703430,3419020,3541570,3547800,2903930,3181010,3149220,3972150,3905920,3944270
Q8IWZ3;Q8IWZ3-4;Q8IWZ3-6,H0Y472;H0Y4P6;H0Y785;Q8IWZ3-4;Q8IWZ3-6;H7C0V5;Q8IWZ3,ANKH1-4_HUMAN;ANKH1-6_HUMAN;ANKH1_HUMAN,ANKHD1,Ankyrin repeat and KH domain-containing protein 1,3,740830,1019840,1094790,1268710,1174320,1110560,741051,1135900,1233440,940511,1112690,978397
Q8IWZ8,V9GZ08;Q8IWZ8,SUGP1_HUMAN,SUGP1,SURP and G-patch domain-containing protein 1,15,1125380,1105570,1090620,1348080,1430550,1420610,1050380,1191810,1287080,1280780,1375230,1384670
Q8IX01;Q8IX01-3;Q8IX01-4,M0R065;M0R216;M0R2Z9;M0R3F6;Q8IX01-3;Q8IX01-4;Q8IX01,SUGP2-3_HUMAN;SUGP2-4_HUMAN;SUGP2_HUMAN,SUGP2,SURP and G-patch domain-containing protein 2,26,2775290,2852050,2828510,2564100,2650840,2615640,2519360,2754190,2798760,2600340,2442900,2562770
Q8IX12;Q8IX12-2,A0A0C4DGG8;F5H1H2;F5H2E6;F5H3E1;Q8IX12-2;Q8IX12,CCAR1-2_HUMAN;CCAR1_HUMAN,CCAR1,Cell division cycle and apoptosis regulator protein 1,22,1596470,1593330,1642420,2120930,2147940,2098460,1456880,1880410,1899020,2641150,2686880,2509350
Q8IX18;Q8IX18-2;Q8IX18-3;Q8IX18-4,F5H625;Q8IX18-2;Q8IX18-3;Q8IX18-4;Q8IX18,DHX40-2_HUMAN;DHX40-3_HUMAN;DHX40-4_HUMAN;DHX40_HUMAN,DHX40,Probable ATP-dependent RNA helicase DHX40,3,218168,88303.7,82957.7,262354,177172,205117,343455,130039,150962,219900,205399,194639
Q8IX90,Q8IX90-3;Q8IX90,SKA3_HUMAN,SKA3,Spindle and kinetochore-associated protein 3,8,771671,811591,722065,757782,789362,753893,579806,721081,771666,566824,572811,538188
Q8IXB1,Q8IXB1-2;Q8IXB1,DJC10_HUMAN,DNAJC10,DnaJ homolog subfamily C member 10,17,2579220,2678740,2764010,2671530,2672180,2556410,2811880,2599160,2632670,2621890,2599290,2701890
Q8IXH7;Q8IXH7-4,H0UI80;Q8IXH7-4;X6RLT1;Q8IXH7,NELFD-4_HUMAN;NELFD_HUMAN,NELFCD,Negative elongation factor C/D,3,440246,454345,460561,456644,508323,541104,,357020,375002,439479,473508,439889
Q8IXI1,H3BST5;I3L2C6;Q8IXI1,MIRO2_HUMAN,RHOT2,Mitochondrial Rho GTPase 2,12,2004840,2275100,2191320,1971100,1926240,2158170,2120800,2042250,2161660,2189190,2086030,2164380
Q8IXI2;Q8IXI2-2;Q8IXI2-3;Q8IXI2-4;Q8IXI2-5;Q8IXI2-7,H7BXZ6;Q8IXI2-2;Q8IXI2-3;Q8IXI2-4;Q8IXI2-5;Q8IXI2-6;Q8IXI2-7;Q8IXI2,MIRO1-2_HUMAN;MIRO1-3_HUMAN;MIRO1-4_HUMAN;MIRO1-5_HUMAN;MIRO1-7_HUMAN;MIRO1_HUMAN,RHOT1,Mitochondrial Rho GTPase 1,8,1342660,1318210,1279020,1011720,994951,930885,993281,1092140,1048280,998370,1054800,1045430
